,dst_port,protocol,length,Dst_ip_range,Direction,Class
303,d-756,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
304,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
305,d-834,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
306,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
307,d-756,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
308,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
309,d-71,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
310,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
311,d-148,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
312,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
313,d-71,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
314,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
315,d-148,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
316,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
317,d-538,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
318,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
319,d-268,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
320,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
321,d-538,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
322,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
323,d-268,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
324,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
325,d-538,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
326,d-60478,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
327,d-101,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
328,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
329,d-101,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
330,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
331,d-631,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
332,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
333,d-387,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
334,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
335,d-987,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
336,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
337,d-987,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
338,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
339,d-849,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
340,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
341,d-883,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
342,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
343,d-849,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
344,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
345,d-836,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
346,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
347,d-603,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
348,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
349,d-836,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
350,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
351,d-37,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
352,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
353,d-37,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
354,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
355,d-471,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
356,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
357,d-668,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
358,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
359,d-758,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
360,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
361,d-613,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
362,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
363,d-758,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
